id,onstreet_spots,offstreet_spots
-1041676351,6,NA
-1041682043,21,NA
-1041685348,25,NA
-1041693599#0,231,NA
-1041970180,18,NA
-10422398,4,NA
-10422407#0,13,NA
-10422407#1,16,NA
-10422536#0,16,NA
-10422536#1,30,NA
-10422536#2,6,NA
-10422536#3,11,NA
-10422536#4,32,NA
-1042347015#1,6,NA
-1042400948,65,NA
-1042407361#0,9,NA
-1042407361#1,43,NA
-1042450101,13,NA
-104251588,7,NA
-1042768909,17,NA
-1042768910,2,NA
-1042821846,13,NA
-1042821847,7,NA
-1042963273#0,3,NA
-1042963273#1,14,NA
-1042963273#2,7,NA
-1043339104#0,9,NA
-1043339104#1,3,NA
-1043678220,1,NA
-1043836179,59,NA
-1044264577,26,NA
-1044273222,24,NA
-1044406927#0,32,13
-1044406927#1,20,NA
-1044598220,42,NA
-1044651333#1,37,NA
-1044651348#0,26,11
-1044651356,40,NA
-1044817756,10,NA
-1044818306#0,16,NA
-1044819397,34,NA
-1044820084,17,NA
-1044820360,5,NA
-1045086255,28,NA
-1045102859#0,11,NA
-1045102859#1,12,NA
-1045102859#2,21,NA
-1045107649,24,NA
-1045120847,13,NA
-1045348127,5,NA
-1045348128,3,NA
-1046231308,14,NA
-1046390082#0,15,NA
-1046390088,11,NA
-104652096#4,25,NA
-1046624012#0,30,NA
-1046778840#0,3,NA
-1047401809,5,NA
-1047402016,32,NA
-1047402492,49,NA
-1047403425,35,NA
-1047403504,27,NA
-1047403587,11,NA
-1047404546,34,NA
-1047406310#0,37,NA
-1047406480,12,NA
-1047406853,15,NA
-1047407462,11,NA
-1047407765,8,59
-1047408162,20,NA
-1047408487,16,NA
-1047410447,13,17
-1047413160,7,NA
-1047417490,18,NA
-1047432177,27,NA
-104745865,2,NA
-1047544507,22,NA
-1047792599,74,NA
-1047836236,13,NA
-1047837352,23,NA
-1047837747#0,33,NA
-104819356,9,NA
-104864002#0,37,NA
-104864002#1,47,NA
-104864002#2,7,NA
-1049261179,28,NA
-1049301215#1,14,NA
-104946228#0,53,NA
-104946228#1,1,NA
-1049510952,22,NA
-1049524341#1,2,NA
-104983992#0,13,NA
-104983992#1,13,NA
-1049857024#0,15,NA
-1049857025,17,NA
-1049867539,5,NA
-1049880340,6,NA
-1050051446#0,8,NA
-1050051446#1,9,NA
-1050179271,40,NA
-1050285523,19,NA
-1050300940#0,14,NA
-1050300940#1,8,NA
-1050300940#2,26,NA
-1050300942,39,NA
-1050327115,27,NA
-1050331340#0,13,NA
-1050506107,10,NA
-1050506115,16,NA
-1050506145#0,34,NA
-1050506145#1,44,11
-1050507012,33,NA
-1050508613,42,NA
-1050509375,37,NA
-1050516756,27,NA
-1050518022,14,46
-1050523243,34,NA
-1050526168,11,NA
-1050526170,80,NA
-1050526172,3,NA
-1050528553#0,7,NA
-1050528553#1,30,NA
-1050528851,49,NA
-1050732470,35,NA
-1050732690#0,12,NA
-1050732690#2,13,NA
-1050733664,35,NA
-1050733757#0,16,NA
-1050733757#1,14,NA
-1050734394,23,NA
-1050736412,26,NA
-1050737336,12,NA
-1050737469,12,NA
-1050737605,12,NA
-1050922328,3,NA
-1050922333#2,18,NA
-1051328474#0,14,NA
-1051328474#1,5,NA
-105137684,4,NA
-1051520955,3,NA
-1051566885,7,NA
-1051634661#0,18,NA
-1051634661#1,19,NA
-1051639963,38,NA
-1051639965,21,NA
-1051773065#0,13,NA
-1051773065#1,13,NA
-1051773065#2,13,NA
-1051773065#3,7,NA
-1051773065#4,2,NA
-1051807129#0,43,NA
-1051807129#1,7,NA
-1051812338#1,6,NA
-1051812339,58,NA
-1052012391,18,NA
-1052024921,16,NA
-1052033632,26,NA
-1052041056,39,NA
-1052422199#0,2,NA
-1052422199#1,10,NA
-1052422199#2,3,NA
-1052422200#0,13,NA
-1052422200#2,3,NA
-1052455559#0,92,NA
-1052669149,42,NA
-1052669152,27,NA
-1052669153#2,36,NA
-1052675127,33,NA
-1052675176,52,NA
-1052675177#0,34,NA
-1052675227#4,37,NA
-1052675228,20,NA
-1052686870,14,NA
-1052698780,32,NA
-1052734946,8,NA
-1052735197#0,8,NA
-1052735197#1,9,NA
-1052739459#2,15,NA
-1052741257,13,NA
-1052744563,9,NA
-1052744568,27,NA
-1052756577,18,NA
-1052756578,24,NA
-1052757284,24,60
-1052758514#0,19,NA
-1052758514#1,9,NA
-1052758758,31,NA
-1052758759,23,NA
-1052832887,24,NA
-1052833075#0,9,NA
-1052833075#1,20,NA
-1052940882,44,10
-1052973714#0,3,NA
-1052973717#0,20,NA
-1053026513,32,NA
-1053037342,19,NA
-1053037343,23,NA
-105352753,26,NA
-1053617188,16,NA
-1053920829,3,NA
-1054376499,36,NA
-1054376581,30,NA
-105439318,11,NA
-105439319,11,NA
-1054672705,21,NA
-1054720881#0,37,128
-1054720881#1,7,NA
-1054724817,4,NA
-1054727262,31,NA
-1054730129,14,NA
-1054748135,21,4
-1054756408#2,41,NA
-1054783030,74,NA
-1054785298#4,55,NA
-1054785327,38,NA
-1054785328,21,NA
-1055036568#1,7,NA
-1055066079#1,2,NA
-1055066306,2,NA
-1055066599,21,NA
-1055067877,3,NA
-1055068872,10,NA
-1055071775,33,NA
-1055082621,12,NA
-1055082836,90,532
-1055085509,48,5
-1055091062,28,NA
-1055105774,8,NA
-1055108562,28,NA
-1055112019,68,NA
-105518276,1,NA
-1055187500,14,NA
-1055187501,34,NA
-1055187502,53,NA
-1055187503,41,NA
-1055187505,38,NA
-1055187506,33,20
-1055297757,68,46
-1055331520,14,NA
-1055409898,11,NA
-1055413927,28,189
-1055414262,19,27
-1055457395#0,9,NA
-1055751031#2,21,NA
-1055826583#1,36,NA
-10559163#0,9,12
-10559163#1,11,NA
-10559163#2,17,NA
-10559163#3,22,NA
-10559163#4,43,NA
-1055981878,4,NA
-1056150857#1,9,NA
-1056194775,11,NA
-1056267275,26,NA
-1056473038#0,15,NA
-1056473039,31,NA
-1056594666,35,NA
-1056610313,39,NA
-1056610628,5,NA
-1056611288,10,NA
-1056611594#0,10,NA
-1056611594#1,6,NA
-1056612845#2,11,47
-1056615867#0,26,NA
-1056615867#1,37,NA
-1056615867#4,26,NA
-1056617261#1,29,NA
-1056617371,30,NA
-1056629317#0,38,NA
-1056631475#0,46,NA
-1056633682,32,NA
-1056639653,23,NA
-1056642833,27,NA
-1056642838,34,NA
-1056642945,21,NA
-1056708081#2,17,NA
-1056708081#3,28,NA
-105679493#0,13,6
-1056860834,10,NA
-1056860835,5,NA
-1056861518,20,NA
-1056862442,13,NA
-1057078402#0,2,NA
-1057078402#1,1,NA
-1057115019,17,NA
-1057131743,7,NA
-1057156828,16,NA
-1057188363#0,56,47
-1057188363#1,3,NA
-1057194828#0,32,NA
-1057194828#1,7,NA
-105752357,10,NA
-1057550513,7,NA
-1057554996,20,NA
-1057563421,29,NA
-1057576180#0,24,NA
-1057576180#1,33,24
-1057578010,37,28
-1057635874#0,46,50
-1057636474,49,NA
-1057679496,22,NA
-1057705993,128,69
-1057968592,17,NA
-1057986367,54,NA
-1057995229,16,NA
-1057996181,14,NA
-1057996323,14,NA
-1057999241,9,NA
-105802525#0,29,NA
-105802525#1,14,NA
-1058099019,21,NA
-1058153657#0,11,NA
-1058159952,37,NA
-1058161040,27,NA
-1058166479#0,6,NA
-1058166479#1,5,NA
-1058166480,11,NA
-1058166660,11,NA
-1058167403#0,6,NA
-1058167403#1,8,NA
-1058167403#2,9,NA
-1058167403#3,17,NA
-1058367406,19,NA
-1058401882,13,NA
-1058531703#0,23,NA
-1058531703#1,20,NA
-1058531711#0,20,NA
-1058531711#1,22,NA
-1058531712,19,NA
-1058548817,12,NA
-10587014,17,NA
-1058942145,24,NA
-1059169451,4,NA
-10595852#0,16,NA
-10595852#1,21,140
-1059672152,21,NA
-1059672153,25,NA
-1059882120,8,NA
-1060249512#0,37,NA
-1060407617#0,5,NA
-1060407617#1,5,NA
-1060572198,19,NA
-1060572199#3,7,NA
-106059890#0,14,NA
-106059890#1,14,NA
-1060659769#0,30,NA
-1060659769#1,17,NA
-1060659771,16,NA
-1061046681,17,NA
-1061047730,23,7
-1061048318#0,13,NA
-1061048318#1,9,NA
-1061050794#0,6,NA
-1061056171,11,NA
-1061090989,24,NA
-1061266695,91,NA
-1061504338,7,NA
-10616060,49,NA
-10616488,34,NA
-1061707859#2,35,NA
-1061889510,3,NA
-10620011#0,20,NA
-10620011#1,1,NA
-10620102#0,16,NA
-10620102#1,14,NA
-10620102#2,34,NA
-1062320253,8,NA
-1062321724,19,NA
-1062321805,14,NA
-1062322122#0,4,NA
-1062322122#1,13,NA
-1062322134,4,NA
-1062324254,13,NA
-1062328852,28,NA
-1062328861,3,NA
-106248900#0,29,NA
-106248900#1,15,NA
-106248900#2,5,NA
-106248900#3,21,NA
-106248910,16,NA
-106248928,13,NA
-106248936,22,NA
-106248943#0,9,NA
-106248943#1,10,NA
-106248943#2,6,NA
-106248943#3,19,NA
-106248943#4,18,NA
-106248943#5,5,NA
-106248943#6,13,NA
-1062556377,18,46
-1062591002,15,NA
-1062653496,14,11
-1063099348,2,NA
-1063577504,16,NA
-106368290,53,NA
-1063689657#0,18,NA
-1064521714,2,NA
-1064540014,14,NA
-1064540503,12,NA
-1064541351,31,NA
-1064541361,20,NA
-1064541842,16,NA
-1064541891,6,NA
-1064543474,32,NA
-1064555041,36,NA
-106471823,8,NA
-1064806466,3,NA
-1064806684,26,7
-1064810458,27,NA
-1064812115,40,75
-1064814610,14,NA
-1064817514,13,NA
-1064845312,4,NA
-1065257115#0,2,NA
-1065257115#1,5,NA
-1065325932,35,NA
-1065325933#0,18,NA
-1065325933#1,10,NA
-1065325933#2,6,NA
-1065693887,8,NA
-1065786257,6,NA
-1066094839,3,NA
-1066145329,47,NA
-1066152137,6,NA
-1066152888,4,NA
-1066219245#0,16,85
-1066219245#1,14,102
-1066219246,3,NA
-106652862,30,NA
-106655153,15,NA
-106655154,23,NA
-1066895444,42,NA
-1066895445,15,NA
-1066897495#2,18,NA
-10671504,61,NA
-1067161463#0,4,NA
-1067161463#1,1,NA
-1067174964#0,20,NA
-1067296925#0,2,NA
-1067724388,23,NA
-106796067,22,NA
-1067984548,31,NA
-1068028456,25,NA
-106819379,32,NA
-106820463,30,NA
-106820465,2,NA
-10687028,22,12
-106874337,16,NA
-106874355#0,31,NA
-106874355#1,13,NA
-106874355#2,11,NA
-1069199329,29,NA
-1069691169#0,4,NA
-1069691169#1,4,NA
-1069694598,6,NA
-1069694599,3,NA
-1069710032,16,NA
-1069710034,6,NA
-1069710035,16,NA
-10699553,10,NA
-10699605,8,NA
-1070246576,3,NA
-1070284535#0,18,NA
-1070284538,76,NA
-1071013237#1,18,NA
-1071013237#2,2,NA
-1071019417,18,NA
-10710969,51,NA
-1071211391,13,NA
-1071211392,27,NA
-1071236597#0,13,NA
-1071236597#1,13,NA
-1071236598,15,NA
-1071291899#0,18,NA
-1071291899#1,9,NA
-107178760,20,NA
-107178761,22,NA
-1071807788,29,NA
-1071807789,40,14
-1071807794,20,NA
-1071954561,31,108
-1071968533,35,12
-1072169591,18,NA
-1072169608#0,3,NA
-1072169608#3,4,NA
-1072185417,16,NA
-107220380#0,7,NA
-107220380#1,11,NA
-1072230363#0,23,NA
-1072255238#0,2,NA
-1072269112,14,NA
-1072269116#0,12,NA
-1072290002#0,17,NA
-1072290002#1,14,NA
-1072290002#2,1,NA
-1072433531,22,NA
-1072450144#0,35,NA
-1072450144#1,4,NA
-1072450145,5,NA
-1072450151,11,NA
-1072613578,3,NA
-1072645816,39,NA
-1072647749#2,30,NA
-1072662716,46,NA
-1072662717,5,NA
-1072685941,9,NA
-1073528158,31,NA
-10737928,5,NA
-10738654#1,28,NA
-10739025#1,10,NA
-1074096510#0,12,52
-1074096515#0,8,NA
-10741525#0,23,NA
-10741525#1,33,NA
-10741525#2,20,NA
-10741525#3,6,NA
-10741525#4,39,NA
-10741697,19,NA
-10742228#0,25,NA
-10742228#1,30,NA
-10742320#0,21,NA
-10742320#1,27,NA
-10742320#2,30,NA
-10742320#3,19,NA
-10742555,2,NA
-1074286970#0,6,NA
-1074286970#2,3,NA
-10742918,1,NA
-1074551828,19,NA
-1074806547,18,NA
-1074806548,15,NA
-1074878520,26,NA
-10748897,6,NA
-10749073,23,NA
-10749251,10,NA
-10749417,11,NA
-10749447,14,14
-10749483,3,NA
-10749740#0,16,NA
-10749740#1,23,NA
-10750000,2,NA
-10750055,20,NA
-107541817#0,22,NA
-107541817#1,7,NA
-107541817#2,24,NA
-107541819,12,NA
-107541820,23,NA
-107541821#0,12,NA
-107541821#3,15,NA
-10754955,13,NA
-10754956,3,NA
-10754963,12,NA
-1075528615,22,NA
-1075528616,9,499
-1075657398,8,NA
-1075717833#0,11,NA
-1075717833#1,15,NA
-1076055688#0,16,50
-1076055688#1,27,NA
-1076056354,48,14
-1076440024,23,NA
-1076446010,1,NA
-1076497021,34,NA
-107667977,15,NA
-107668000,22,NA
-107668002,12,NA
-107668003,17,NA
-107668006,15,NA
-107668008,24,NA
-107668024,19,NA
-1076974107,34,NA
-1077054093,25,58
-1077057451,21,NA
-1077113256#0,8,NA
-1077113256#1,5,NA
-1077129180#1,20,NA
-1077138427,28,NA
-10774085#0,2,NA
-10774085#1,15,NA
-10774085#2,31,NA
-10774107#0,9,NA
-10774107#1,12,NA
-1077412335,56,NA
-1077415998,30,NA
-1077416545,29,NA
-1077416573,18,NA
-1077417723,11,NA
-1077419114,34,NA
-1077420642,34,NA
-1077421156#0,18,NA
-1077421156#1,18,NA
-1077421157,19,NA
-1077424649,13,NA
-1077425122,28,NA
-1077428691#0,29,NA
-1077428691#1,19,NA
-1077430474,8,NA
-10774519#0,15,NA
-10774519#1,35,58
-10774600#0,11,NA
-10774679#0,9,NA
-10774679#3,10,NA
-107747046,42,25
-107747049#0,21,NA
-107747049#1,16,NA
-107747049#2,15,NA
-107747049#3,16,NA
-107747049#4,21,NA
-10774708#0,9,NA
-10774708#1,12,NA
