id,offstreet_spots
-20431561#2,71
-20550460#0,91
-205505801,24
-20553068#1,12
-206579061,11
-206807723#1,10
-208089047#3,61
-208580239#0,18
-209262337#1,19
-209264200#1,28
-211118711#2,29
-212452093,14
-21261603#0,50
-214715809#0,10
-214717427#0,38
-21520009,6
-21603695,12
-21603801,81
-217386887,54
-21759542,203
-217631783#2,23
-217631783#5,13
-217878977#0,9
-21848453,29
-21852048,19
-219081831#1,11
-219558868,8
-219786362#0,7
-22026604#10,33
-22061888,9
-220911301#2,8
-22093491,113
-221353107,25
-221747787,7
-22281062#0,16
-223136037,20
-223162197#0,15
-223188529,17
-223188531,16
-223513152,68
-22381928#3,22
-224653017#2,117
-224654575#1,5
-224731112,55
-22491301,14
-22495016,11
-22495096#1,27
-22495096#3,32
-22566501#3,38
-22566537,15
-225969932#0,68
-22701544,11
-22721671#0,6
-22731145,49
-22733225#0,19
-22733225#2,49
-22733267,38
-22733459#0,6
-22733496#6,19
-22768993,8
-22768995,6
-22823712#1,14
-22823712#2,21
-228335467#2,133
-228335467#3,9
-228498044,6
-22874227#2,1
-22875145,92
-22875216,24
-22875391#1,17
-22875655,5
-228838258,57
-22910099,80
-22942678#0,27
-22955116#2,36
-22956597#1,35
-22956642#1,26
-22956754#0,8
-22956997,143
-22957980#2,17
-22959737#0,3
-22959737#1,18
-22972469#2,10
-22973174#1,6
-22973462,18
-22981795,22
-22984336#0,25
-229990467,10
-23006254#3,102
-23008699#0,173
-23009527#0,26
-23018320#1,33
-23018322,31
-23041831#1,46
-23044858#0,29
-23044976,22
-23049477#2,72
-23083757,41
-231019450#0,8
-231019450#2,25
-23108814#1,10
-23108814#3,15
-23108816,23
-23109088#2,8
-23121641#0,3
-23121641#1,10
-23157256#0,30
-231883017#2,13
-231883017#5,10
-231887171#2,7
-23197084,10
-23200609#3,272
-23209854,37
-23209857,13
-23227198#0,96
-23243508#0,38
-23243508#5,40
-23249210,15
-23287112,19
-23319060,11
-233363038,11
-23368773,7
-23381668#2,13
-23382155,71
-233835642,87
-23389632,12
-23389981#0,63
-23389981#1,4
-23398380,32
-23398383#0,90
-23404069,10
-23410006,49
-23410022,9
-23410054#0,23
-23410054#1,11
-23410060#0,14
-23410060#2,44
-23410060#3,10
-23410061#0,48
-23410061#1,63
-23410064,14
-23410070#1,68
-23410099,20
-23410100,59
-23411693,4
-23411696#3,7
-23424425,7
-23424483,10
-23424609#0,52
-23424609#2,8
-23436566#1,51
-23436566#3,83
-23436571,20
-23485319,28
-235047941,70
-23532154,14
-23532560,20
-23536577,59
-23536762,13
-23547470,34
-23547510,23
-23547538,19
-236000457#2,38
-23609110#0,8
-23724738,24
-23734218#0,118
-23735661#2,20
-23738640#13,89
-23738640#5,8
-23738640#8,16
-237483985,8
-23788384#0,71
-23788388,49
-23788436#0,11
-238070963#0,78
-238070963#1,66
-23815732,10
-23817858,82
-23859378#0,7
-23859378#2,4
-23859379,10
-23859440#2,24
-23859441#1,16
-23859711,143
-23863059,4
-23881563,83
-23882013#0,59
-23899000,46
-23900293,20
-239020572#1,21
-239020851,16
-239020957#2,16
-23913523#0,13
-239310792#4,8
-23951216#0,9
-23968027#2,10
-23984495,4
-23984865#0,53
-23985463#3,21
-239874165#4,24
-240058497#1,10
-24026983#0,10
-24026983#1,99
-24028197#3,36
-24028197#4,147
-24028197#9,104
-24028718,11
-24029384#0,163
-24029384#3,23
-24029407,5
-24030535#1,23
-24030684#1,240
-24033321#1,43
-24033655#1,5
-24033673,50
-24035220#0,129
-24036553#0,35
-24036553#2,48
-240826352,31
-240959630,20
-240959635#2,132
-24159378#0,91
-24159378#1,51
-24159378#3,30
-24159914#0,24
-24159915,24
-24161945#2,8
-24162107#2,29
-24162124#0,40
-24180030,11
-241859198,5
-24204733#6,47
-24204822#0,22
-24209176#0,10
-24209176#2,45
-24209470,51
-24214232,15
-24214285#1,11
-24214694#1,78
-24215974,52
-24223515#8,5
-24227283,24
-242358895,129
-24242882,298
-24286718,8
-24304344,29
-24304462#1,28
-24305644#0,21
-24305644#3,10
-24320136,28
-24320141,31
-24325817,77
-24348697#4,5
-24381318,11
-24386903#0,7
-24495448#0,47
-245117960,44
-24555764#0,23
-24555764#1,54
-24560317#0,12
-24560321,24
-24580427,15
-24580456,3
-24594602#2,7
-246049141#3,17
-246049143#2,13
-24614144,224
-24614179,53
-24621801,17
-24622057#2,17
-24666391#2,81
-24700580#0,15
-247340732,14
-24756980#0,57
-24803495,23
-24804415,31
-24837127,22
-24877951#0,14
-24880738,155
-24900431#0,201
-24900431#2,132
-24951393,42
-24961509#10,13
-24966649,6
-24980582#2,156
-24986658#2,27
-24993933#2,19
-24997595,5
-25000104#3,19
-25029486#0,9
-25042578#1,9
-25042581,31
-25042583,7
-25042806,130
-25045163#0,3
-25045163#1,11
-25115162#2,56
-25121299,22
-25167733,24
-25179835#4,11
-25199872#10,36
-25205078#8,5
-25215876#1,42
-25219761#0,12
-25219762#0,117
-25271028#2,43
-25278602,104
-25278674#4,103
-25283278,8
-25296253#1,12
-25305306,62
-25307868#2,15
-25308380,140
-25316507#0,35
-25316507#1,41
-25317591#1,28
-25333956#1,6
-25358952#1,31
-25368395,14
-25368898#2,31
-25369037#2,34
-25374124,59
-25376552#2,14
-25378152,80
-25415937#0,11
-25415937#6,16
-25491786#1,79
-25491788,21
-25492149,34
-25500703,73
-25508124#2,22
-25514057#3,11
-25514293,34
-25514872#0,9
-25569511#4,4
-25628951,40
-256541565,14
-256542871,47
-25676026#2,36
-25676027,354
-25684229#0,48
-25697595#0,7
-25705166#0,49
-25706928#2,39
-25717487,68
-25721119,17
-25747503,10
-25747524,16
-25748835,15
-25759600#0,270
-25759600#3,350
-25771126,13
-25771472#1,9
-25775910,108
-25793163#1,299
-25793205,24
-25793230#3,9
-25796874,26
-25802008,10
-25814549#1,24
-25814981#2,6
-25815392,109
-25826375,70
-258538149,8
-25910521,58
-25929648,4
-25958770,150
-25999940#0,5
-26056008#2,5
-260589819,49
-26071043#0,9
-26122496,18
-26126009#1,6
-26139332,24
-26139426#1,47
-26139426#2,11
-26139457#2,67
-26141837#0,4
-26144482#3,32
-26236456#0,8
-263140195,2
-26321231#0,91
-26321231#1,20
-26338220#2,38
-26347084,157
-26374484#0,4
-26406925,17
-264463432#0,12
-26525965,28
-26550964,139
-26551425,4
-26551427,25
-26604694#1,46
-26604697,33
-26625664#1,23
-266854579#0,24
-266854579#2,492
-266920619#0,17
-266920620,11
-26720820,44
-26808870,14
-26876708,4
-26876712,11
-26975080#1,25
-26991766#1,121
-27058015,364
-27058055#0,29
-27058055#1,14
-27093182#2,35
-27102107,60
-27106319#3,3
