pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---shopping_15000.0	16	4	1	1	0	0	1	0	0	0	0	0	0
car interaction---shopping_15600.0	16	3	0	0	1	0	0	0	0	0	0	0	0
car interaction---shopping_16200.0	7	1	0	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_16800.0	10	0	0	1	1	0	0	0	0	0	0	0	0
car interaction---shopping_17400.0	9	1	1	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_1800.0	930	199	53	19	20	10	7	3	2	1	1	0	1
car interaction---shopping_18000.0	13	2	0	0	0	0	1	0	0	0	0	0	0
car interaction---shopping_18600.0	10	4	0	0	1	1	0	0	0	0	0	0	0
car interaction---shopping_19200.0	16	0	0	0	1	0	0	0	0	0	0	0	0
car interaction---shopping_19800.0	4	1	1	1	0	0	0	0	0	0	0	0	0
car interaction---shopping_20400.0	1	0	0	0	1	0	0	0	0	0	0	0	0
car interaction---shopping_21000.0	3	1	0	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_21600.0	3	1	0	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_22200.0	3	2	0	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_22800.0	2	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_23400.0	3	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_2400.0	571	109	37	20	12	4	3	1	0	0	0	0	0
car interaction---shopping_24000.0	3	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_24600.0	2	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_25200.0	3	2	1	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_25800.0	1	1	0	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_27000.0	1	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_3000.0	449	101	26	13	6	4	0	2	1	0	0	0	0
car interaction---shopping_30000.0	1	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_31200.0	2	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_31800.0	0	1	0	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_32400.0	1	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_3600.0	355	69	19	11	7	8	1	0	0	0	0	0	0
car interaction---shopping_4200.0	250	54	14	6	6	1	0	1	1	1	0	0	1
car interaction---shopping_4800.0	187	48	15	5	0	5	1	0	1	0	0	0	0
car interaction---shopping_5400.0	154	24	11	9	1	2	1	0	0	0	0	0	0
car interaction---shopping_600.0	3540	689	220	121	69	21	14	7	3	4	0	2	1
car interaction---shopping_6000.0	135	19	8	7	4	1	0	0	1	0	0	0	0
car interaction---shopping_6600.0	94	22	5	3	0	0	0	0	2	1	1	0	0
