Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
51	19:58:53	19:58:53	19:58:53	19:58:53	19:59:11	19:59:11			19:59:11	19:59:11	20:00:05	20:00:05	20:00:05	20:00:05	20:00:05	20:00:05			20:00:06	20:00:06		00:00:00	00:00:17		00:00:00	00:00:53	00:00:00	00:00:00		00:00:01	00:01:13
52	20:00:07	20:00:07	20:00:07	20:00:07	20:00:25	20:00:25			20:00:26	20:00:26	20:01:20	20:01:20	20:01:20	20:01:20	20:01:20	20:01:20			20:01:22	20:01:22		00:00:00	00:00:18		00:00:00	00:00:54	00:00:00	00:00:00		00:00:01	00:01:15
53	20:01:22	20:01:22	20:01:22	20:01:22	20:01:44	20:01:44			20:01:45	20:01:45	20:02:39	20:02:39	20:02:39	20:02:39	20:02:39	20:02:39			20:02:41	20:02:41		00:00:00	00:00:21		00:00:00	00:00:54	00:00:00	00:00:00		00:00:01	00:01:18
54	20:02:41	20:02:41	20:02:41	20:02:41	20:02:58	20:02:58			20:02:59	20:02:59	20:03:57	20:03:57	20:03:57	20:03:57	20:03:57	20:03:57			20:03:59	20:03:59		00:00:00	00:00:17		00:00:00	00:00:58	00:00:00	00:00:00		00:00:01	00:01:17
55	20:03:59	20:03:59	20:03:59	20:03:59	20:04:17	20:04:17			20:04:17	20:04:17	20:05:12	20:05:12	20:05:12	20:05:12	20:05:12	20:05:12			20:05:14	20:05:14		00:00:00	00:00:18		00:00:00	00:00:54	00:00:00	00:00:00		00:00:01	00:01:14
56	20:05:14	20:05:14	20:05:14	20:05:14	20:05:35	20:05:35			20:05:36	20:05:36	20:06:31	20:06:31	20:06:32	20:06:32	20:06:32	20:06:32			20:06:34	20:06:34		00:00:00	00:00:21		00:00:00	00:00:55	00:00:00	00:00:00		00:00:02	00:01:20
57	20:06:34	20:06:34	20:06:34	20:06:34	20:06:52	20:06:52			20:06:53	20:06:53	20:07:47	20:07:47	20:07:47	20:07:47	20:07:47	20:07:47			20:07:49	20:07:49		00:00:00	00:00:18		00:00:00	00:00:53	00:00:00	00:00:00		00:00:02	00:01:15
58	20:07:49	20:07:49	20:07:49	20:07:49	20:08:08	20:08:08			20:08:08	20:08:08	20:09:02	20:09:02	20:09:02	20:09:02	20:09:02	20:09:02			20:09:05	20:09:05		00:00:00	00:00:18		00:00:00	00:00:54	00:00:00	00:00:00		00:00:02	00:01:15
59	20:09:05	20:09:05	20:09:05	20:09:05	20:09:26	20:09:26			20:09:26	20:09:26	20:10:21	20:10:21	20:10:21	20:10:21	20:10:21	20:10:21			20:10:23	20:10:23		00:00:00	00:00:20		00:00:00	00:00:54	00:00:00	00:00:00		00:00:02	00:01:18
60	20:10:23	20:10:23	20:10:23	20:10:23	20:10:40	20:10:40			20:10:41	20:10:41	20:11:35	20:11:35	20:11:35	20:11:35	20:11:36	20:11:36	20:11:36	20:11:36	20:11:49	20:11:49		00:00:00	00:00:17		00:00:00	00:00:54	00:00:00	00:00:00	00:00:00	00:00:13	00:01:25
