pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---other_18000.0	18	5	1	0	0	0	0	0	1	0	0	0	0
car interaction---other_18600.0	10	2	1	0	0	0	0	0	0	0	0	0	0
car interaction---other_19200.0	5	1	0	0	1	0	1	0	0	0	0	0	0
car interaction---other_19800.0	5	3	0	0	0	0	0	0	0	0	0	0	0
car interaction---other_20400.0	11	3	0	0	0	0	0	0	0	0	0	0	0
car interaction---other_21000.0	5	1	1	0	0	0	0	0	0	0	0	0	0
car interaction---other_21600.0	12	3	1	0	1	0	0	0	0	0	0	0	0
car interaction---other_22200.0	11	1	5	0	0	0	0	0	0	0	0	0	0
car interaction---other_22800.0	11	1	0	0	1	0	0	0	0	0	0	0	0
car interaction---other_23400.0	4	1	0	0	0	0	0	0	0	0	0	0	0
car interaction---other_2400.0	636	108	44	20	14	3	8	2	0	1	0	0	0
car interaction---other_24000.0	9	1	1	0	0	0	0	0	0	0	0	0	0
car interaction---other_24600.0	5	2	0	0	1	0	0	0	0	0	0	0	0
car interaction---other_25200.0	3	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---other_25800.0	3	0	1	1	0	0	0	0	0	0	0	0	0
car interaction---other_26400.0	3	2	0	0	0	0	0	0	0	0	0	0	0
car interaction---other_27000.0	1	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---other_27600.0	1	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---other_28200.0	0	0	1	0	0	0	0	0	0	0	0	0	0
car interaction---other_28800.0	5	2	0	0	1	0	0	0	0	0	0	0	0
car interaction---other_29400.0	2	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---other_3000.0	586	105	37	22	10	9	4	0	1	0	0	0	0
car interaction---other_30000.0	1	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---other_30600.0	1	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---other_31200.0	2	0	1	1	0	0	0	0	0	0	0	0	0
car interaction---other_32400.0	1	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---other_33000.0	2	3	0	0	0	0	0	0	0	0	0	0	0
car interaction---other_33600.0	1	0	0	1	0	0	0	0	0	0	0	0	0
car interaction---other_34200.0	5	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---other_3600.0	457	81	23	22	7	5	5	1	1	0	0	0	0
car interaction---other_4200.0	343	63	20	8	5	1	4	0	0	0	0	0	0
car interaction---other_4800.0	281	55	17	9	6	4	2	1	1	0	1	0	0
car interaction---other_5400.0	244	34	18	8	4	6	0	1	0	0	0	0	0
car interaction---other_600.0	3641	799	280	120	72	31	25	13	11	3	1	0	0
car interaction---other_6000.0	184	38	7	5	3	3	0	2	2	0	0	0	0
car interaction---other_6600.0	133	24	10	4	2	1	4	1	0	0	0	0	0
car interaction---other_7200.0	164	26	13	4	5	3	1	0	0	0	0	0	0
car interaction---other_7800.0	121	28	8	6	1	0	0	0	0	0	0	0	0
car interaction---other_8400.0	124	29	11	1	4	2	3	2	0	0	0	0	0
car interaction---other_9000.0	97	22	6	2	1	1	0	1	1	0	0	0	0
car interaction---other_9600.0	84	16	9	1	2	3	2	0	0	0	0	0	0
car interaction---shopping_10200.0	44	8	3	0	1	2	1	0	0	0	0	0	0
car interaction---shopping_10800.0	47	6	4	2	0	1	0	0	0	0	0	0	0
car interaction---shopping_11400.0	26	4	3	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_1200.0	1299	249	76	29	26	8	6	5	2	2	1	0	0
car interaction---shopping_12000.0	14	6	5	1	0	0	0	0	0	0	0	0	0
car interaction---shopping_12600.0	20	8	1	0	2	0	0	0	0	0	0	0	0
car interaction---shopping_13200.0	27	4	4	3	1	0	0	0	0	0	0	0	0
car interaction---shopping_13800.0	21	3	1	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_14400.0	13	3	2	0	1	0	0	0	0	0	0	0	0
car interaction---shopping_15000.0	11	3	0	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_15600.0	14	0	0	0	0	1	0	0	0	0	0	0	0
car interaction---shopping_16200.0	3	2	1	1	0	0	0	0	0	0	0	0	0
car interaction---shopping_16800.0	8	1	0	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_17400.0	5	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_1800.0	842	154	73	24	19	8	6	4	1	0	1	2	0
car interaction---shopping_18000.0	11	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_18600.0	22	0	2	1	0	0	0	0	0	0	0	0	0
car interaction---shopping_19200.0	6	1	0	0	0	0	0	1	0	0	0	0	0
car interaction---shopping_19800.0	4	2	0	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_20400.0	3	0	1	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_21000.0	1	0	1	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_21600.0	1	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_22200.0	4	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_22800.0	3	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_23400.0	1	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_2400.0	549	108	41	16	10	4	1	2	2	0	0	1	0
car interaction---shopping_24600.0	1	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_25200.0	1	0	1	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_25800.0	1	0	1	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_28200.0	1	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_3000.0	409	81	25	10	8	3	2	2	0	2	0	0	0
car interaction---shopping_32400.0	1	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_3600.0	342	67	15	12	8	2	1	1	0	0	0	0	0
car interaction---shopping_4200.0	227	47	13	9	1	2	0	1	0	0	1	0	0
car interaction---shopping_4800.0	165	34	10	7	3	2	0	0	0	0	0	0	0
car interaction---shopping_5400.0	140	43	13	6	2	3	2	0	2	0	0	0	0
car interaction---shopping_600.0	3170	672	214	116	53	33	8	8	3	3	1	0	2
car interaction---shopping_6000.0	130	23	6	8	3	3	1	1	1	0	0	0	0
car interaction---shopping_6600.0	113	17	6	5	2	0	0	0	0	0	0	0	0
car interaction---shopping_7200.0	105	12	3	3	0	1	1	0	0	0	0	0	0
car interaction---shopping_7800.0	87	17	4	1	1	0	0	0	0	0	0	0	0
car interaction---shopping_8400.0	81	15	8	3	1	1	1	0	0	0	0	0	0
car interaction---shopping_9000.0	68	15	1	3	1	1	0	0	0	0	0	0	0
car interaction---shopping_9600.0	53	9	3	0	1	0	0	0	0	0	0	0	0
car interaction---work_10200.0	120	22	3	2	1	0	0	0	0	0	0	0	0
car interaction---work_10800.0	105	16	5	2	0	1	2	0	0	0	0	0	0
car interaction---work_11400.0	125	15	10	2	1	0	0	0	0	0	0	0	0
car interaction---work_1200.0	130	28	9	5	3	1	0	0	0	0	0	0	0
car interaction---work_12000.0	384	73	20	2	2	2	0	1	1	0	0	0	0
car interaction---work_12600.0	127	41	6	2	1	0	0	0	0	0	0	0	0
car interaction---work_13200.0	128	25	4	2	1	1	1	0	0	1	0	0	0
car interaction---work_13800.0	141	35	7	1	1	0	2	0	0	0	0	0	0
car interaction---work_14400.0	117	27	6	1	1	0	0	0	0	0	0	0	0
car interaction---work_15000.0	126	23	5	2	1	0	0	0	0	0	0	0	0
car interaction---work_15600.0	146	30	7	6	1	1	0	0	0	0	0	0	0
car interaction---work_16200.0	121	37	8	1	2	0	0	0	0	0	0	0	0
car interaction---work_16800.0	118	21	4	2	1	0	0	0	0	0	0	0	0
car interaction---work_17400.0	126	26	5	1	2	0	0	0	0	0	0	0	0
