age,income,economic_status,employment,car_avail,bike_avail,pt_abo_avail,dist_group,main_mode,share
66+,,,,,,,0 - 1000,pt,0.0014202592753502637
66+,,,,,,,0 - 1000,ride,0.0007945206733549131
66+,,,,,,,0 - 1000,walk,0.04895388339532232
66+,,,,,,,1000 - 2000,bike,0.004901112061815805
66+,,,,,,,1000 - 2000,car,0.006664368538186043
66+,,,,,,,1000 - 2000,pt,0.005694241219659483
66+,,,,,,,1000 - 2000,ride,0.001908547601066374
66+,,,,,,,1000 - 2000,walk,0.011752403919052076
66+,,,,,,,2000 - 5000,bike,0.0038120195535065672
66+,,,,,,,2000 - 5000,car,0.014182897753287854
66+,,,,,,,2000 - 5000,pt,0.011168004816612568
66+,,,,,,,2000 - 5000,ride,0.003960002311818075
66+,,,,,,,2000 - 5000,walk,0.003213275887589475
66+,,,,,,,5000 - 10000,bike,0.0010309422669415914
66+,,,,,,,5000 - 10000,car,0.010764972033622977
66+,,,,,,,5000 - 10000,pt,0.009085791020194418
66+,,,,,,,5000 - 10000,ride,0.0029652986791929787
66+,,,,,,,5000 - 10000,walk,0.0003558709820776099
66+,,,,,,,10000 - 20000,bike,0.0003453780571514728
66+,,,,,,,10000 - 20000,car,0.006129189784084991
66+,,,,,,,10000 - 20000,pt,0.00626965789970863
66+,,,,,,,10000 - 20000,ride,0.002047930484398672
66+,,,,,,,10000 - 20000,walk,0.000165785513990103
66+,,,,,,,20000+,bike,4.3904512818103214e-05
66+,,,,,,,20000+,car,0.0028351117889988684
66+,,,,,,,20000+,pt,0.0020904161717707347
66+,,,,,,,20000+,ride,0.0011209242657942713
66+,,,,,,,20000+,walk,1.2683217669157984e-05
,0 - 500,,,,,,0 - 1000,bike,0.00035232906322035405
,0 - 500,,,,,,0 - 1000,car,7.090399671919135e-05
,0 - 500,,,,,,0 - 1000,pt,7.660995087296602e-05
,0 - 500,,,,,,0 - 1000,ride,1.0994881991693622e-05
,0 - 500,,,,,,0 - 1000,walk,0.002062163570854928
,0 - 500,,,,,,1000 - 2000,bike,0.0005460419853036346
,0 - 500,,,,,,1000 - 2000,car,0.00013863488911091545
,0 - 500,,,,,,1000 - 2000,pt,0.00037538887497296587
,0 - 500,,,,,,1000 - 2000,ride,7.706829309402262e-06
,0 - 500,,,,,,1000 - 2000,walk,0.0005002007112455454
,0 - 500,,,,,,2000 - 5000,bike,0.0005903379360366923
,0 - 500,,,,,,2000 - 5000,car,0.000164129854459031
,0 - 500,,,,,,2000 - 5000,pt,0.000977491071983108
,0 - 500,,,,,,2000 - 5000,ride,5.5772576688806945e-05
,0 - 500,,,,,,2000 - 5000,walk,4.7047029128693725e-05
,0 - 500,,,,,,5000 - 10000,bike,0.0003415737350324348
,0 - 500,,,,,,5000 - 10000,car,7.340959103672418e-05
,0 - 500,,,,,,5000 - 10000,pt,0.0011667747069172992
,0 - 500,,,,,,5000 - 10000,ride,0.00011349593684832373
,0 - 500,,,,,,5000 - 10000,walk,0.0
,0 - 500,,,,,,10000 - 20000,bike,0.0
,0 - 500,,,,,,10000 - 20000,car,0.00010616828727126032
,0 - 500,,,,,,10000 - 20000,pt,0.0010196345434890866
,0 - 500,,,,,,10000 - 20000,ride,8.481671801367754e-05
,0 - 500,,,,,,10000 - 20000,walk,5.145651420926276e-05
,0 - 500,,,,,,20000+,bike,0.0
,0 - 500,,,,,,20000+,car,0.00019659582172983761
,0 - 500,,,,,,20000+,pt,0.0003546799090771576
,0 - 500,,,,,,20000+,ride,0.00011803904947862314
,0 - 500,,,,,,20000+,walk,0.0
,500 - 900,,,,,,0 - 1000,bike,0.0011553909709452585
,500 - 900,,,,,,0 - 1000,car,0.0001988346512506266
,500 - 900,,,,,,0 - 1000,pt,0.00047317266605468607
,500 - 900,,,,,,0 - 1000,ride,5.176430806876595e-05
,500 - 900,,,,,,0 - 1000,walk,0.008738137941421167
,500 - 900,,,,,,1000 - 2000,bike,0.001499650235703195
,500 - 900,,,,,,1000 - 2000,car,0.0006517772253995121
,500 - 900,,,,,,1000 - 2000,pt,0.00104620105069389
,500 - 900,,,,,,1000 - 2000,ride,0.00021087180606797166
,500 - 900,,,,,,1000 - 2000,walk,0.0028972081761874497
,500 - 900,,,,,,2000 - 5000,bike,0.0018106193690665612
,500 - 900,,,,,,2000 - 5000,car,0.0008469950119964699
,500 - 900,,,,,,2000 - 5000,pt,0.0036489656229842546
,500 - 900,,,,,,2000 - 5000,ride,0.0003496013110205455
,500 - 900,,,,,,2000 - 5000,walk,0.0009779684880968755
,500 - 900,,,,,,5000 - 10000,bike,0.0008595566459149111
,500 - 900,,,,,,5000 - 10000,car,0.000767425577185238
,500 - 900,,,,,,5000 - 10000,pt,0.0040375862807297425
